Student_ID,Full Name,Enrollment_Date,Attendance_Rate,Midterm_Score,Final_Exam_Score,Passed_Prep_Course,Tuition_Paid_USD
STU_1194,Charlie Brown,,91.85,75,71,Yes,"$12,000 "
STU_1167,BOB MARLEY,1/9/2023,69.54,68,92,Y,"$12,000 "
STU_1199,Jane Smith,,62.76,90,91,N,
STU_1049,Jane Smith,1/9/2023,69.39,64,83,TRUE,"$12,000 "
STU_1080,Sarah-Jane O'Connor,2023.09.01,72.69,55,98,No,12000
STU_1034,Charlie Brown,1-Sep-23,91.43,60,66,FALSE,"$12,000 "
STU_1007,Jane Smith,1-Sep-23,92.26,,68,No,
STU_1110,Alice johnson,,62.49,57,76,FALSE,PENDING
STU_1091,Sarah-Jane O'Connor,,90.07,54,72,no,PENDING
STU_1083,Alice johnson,9/1/2023,92.6,81,47,Y,12000
STU_1190,Sarah-Jane O'Connor,,87.89,59,58,TRUE,"$12,000 "
STU_1195,Sarah-Jane O'Connor,1-Sep-23,82.64,,47,yes,12000
STU_1089,BOB MARLEY,,94.46,,100,yes,"$12,000 "
STU_1008,Michael Jordan,1-Sep-23,87.47,67,59,FALSE,12000
STU_1013,BOB MARLEY,1-Sep-23,97.95,69,76,yes,12000
STU_1059,Jane Smith,2023.09.01,83.03,91,99,Yes,12000
STU_1184,Michael Jordan,,75.01,43,43,Yes,PENDING
STU_1131,Jane Smith,,75.55,77,67,TRUE,PENDING
STU_1017,BOB MARLEY,1-Sep-23,64.99,51,-,N,PENDING
STU_1166,Sarah-Jane O'Connor,1-Sep-23,84.85,70,72,No,"$12,000 "
STU_1072,Michael Jordan,1-Sep-23,78.58,52,43,FALSE,"$12,000 "
STU_1018,Sarah-Jane O'Connor,2023.09.01,96,86,46,FALSE,12000
STU_1134,Jane Smith,,88.97,78,71,Yes,"$12,000 "
STU_1178,Michael Jordan,2023.09.01,66.55,65,79,yes,12000
STU_1197,Jane Smith,2023.09.01,81.31,78,80,No,12000
STU_1063,Sarah-Jane O'Connor,1/9/2023,65.9,96,74,No,"$12,000 "
STU_1054,Alice johnson,9/1/2023,99.36,60,90,no,"$12,000 "
STU_1107,Jane Smith,2023.09.01,76.59,62,83,FALSE,"$12,000 "
STU_1050,Michael Jordan,,72.42,61,54,Y,12000
STU_1174,Jane Smith,9/1/2023,84.24,70,43,yes,"$12,000 "
STU_1031,Jane Smith,9/1/2023,93.35,86,98,FALSE,"$12,000 "
STU_1169,Sarah-Jane O'Connor,1-Sep-23,64.58,51,82,TRUE,"$12,000 "
STU_1058,Charlie Brown,,95.45,62,91,FALSE,12000
STU_1048,BOB MARLEY,,98.08,82,44,TRUE,"$12,000 "
STU_1088,emma watson,1-Sep-23,66.37,41,65,Yes,
STU_1021,Alice johnson,1-Sep-23,73.05,57,53,N,"$12,000 "
STU_1057,BOB MARLEY,,,,82,No,12000
STU_1160,Jane Smith,1/9/2023,62.74,46,56,yes,
STU_1017,BOB MARLEY,1-Sep-23,64.99,51,87,N,PENDING
STU_1187,BOB MARLEY,9/1/2023,83.68,91,75,No,PENDING
STU_1129,john DOE,9/1/2023,70.92,57,51,yes,
STU_1037,Jane Smith,1/9/2023,77.67,93,78,TRUE,"$12,000 "
STU_1157,Jane Smith,1/9/2023,62.08,,69,no,"$12,000 "
STU_1013,BOB MARLEY,1-Sep-23,97.95,69,76,yes,12000
STU_1001,john DOE,,64.63,61, ,Y,12000
STU_1052,Sarah-Jane O'Connor,9/1/2023,65.89,71,56,Yes,12000
STU_1149,BOB MARLEY,1-Sep-23,73.5,42,58,Y,12000
STU_1130,BOB MARLEY,1/9/2023,79.43,86,77,Yes,"$12,000 "
STU_1151,Jane Smith,1/9/2023,71.13,75,100,yes,"$12,000 "
STU_1103,john DOE,2023.09.01,66.03,67,56,Y,12000
STU_1099,Michael Jordan,9/1/2023,69.38,70,67,No,12000
STU_1116,Charlie Brown,2023.09.01,95.23,52,-,yes,PENDING
STU_1087,Michael Jordan,1/9/2023,77.84,90,84,no,"$12,000 "
STU_1012,BOB MARLEY,1/9/2023,77.25,93,59,yes,
STU_1074,Jane Smith,,96.7,55,90,No,"$12,000 "
STU_1121,john DOE,2023.09.01,75.6,100,88,N,12000
STU_1034,Charlie Brown,1-Sep-23,91.43,60,95,FALSE,"$12,000 "
STU_1020,john DOE,,86.68,81,88,TRUE,"$12,000 "
STU_1188,BOB MARLEY,2023.09.01,93.22,76,48,FALSE,
STU_1071,emma watson,9/1/2023,,100,44,no,
STU_1106,emma watson,1/9/2023,68.56,61,54,yes,
STU_1014,john DOE,9/1/2023,96.83,85,79,TRUE,PENDING
STU_1092,Jane Smith,,93.59,65,74,TRUE,"$12,000 "
STU_1179,Michael Jordan,9/1/2023,72.44,71,88,TRUE,12000
STU_1102,Charlie Brown,1/9/2023,63.22,62,78,FALSE,
